foe_ssm_time,foe_ssm_id,foe_ssm_x,foe_ssm_y
258,3300.0-3033.0,125.10133194749552,299.18156443854946
258,8222.0-3140.0,128.14885844383554,304.5918408135473
258,5093.0-3305.0,154.60075954126646,346.2402191057374
258,6303.0-1855.0,151.8982165387711,353.0455994270135
258,4467.0-2076.0,156.19334237110107,357.8731770223854
258,1179.0-1429.0,130.8252476540706,328.27871665664793
258,9867.0-2159.0,133.32737590669785,339.8748310570242
258,5742.0-2636.0,135.786951237168,345.3971893103569
258,1977.0-829.0,136.20940755382833,351.3849521870928
260,1729.0-2833.0,113.3830914737372,165.99215447392328
260,9790.0-4406.0,104.72500852808673,224.21636645472813
260,9837.0-3205.0,106.85165884862027,197.12225759888258
260,3300.0-3033.0,124.47868413769851,296.31095075844553
260,8222.0-3140.0,127.54575565553152,301.71705730479664
260,5093.0-3305.0,153.8377632352426,343.40368075196204
260,6303.0-1855.0,151.0730439109499,350.22652097302546
260,4467.0-2076.0,155.40240718644878,355.0443018520882
260,1179.0-1429.0,130.1755832958044,325.4140963646994
260,9867.0-2159.0,132.66783325174956,337.01246897619853
260,5742.0-2636.0,135.14088937628665,342.53175439269444
260,1977.0-829.0,135.54483945737613,348.5237527112396
262,1729.0-2833.0,112.93972953092802,163.08844247320536
262,9790.0-4406.0,103.87729451588562,221.4039841640424
262,9837.0-3205.0,106.30087387924884,194.23699346661334
262,3300.0-3033.0,123.85603632790149,293.4403370783416
262,8222.0-3140.0,126.94265286722751,298.84227379604596
262,5093.0-3305.0,153.07476692921873,340.56714239818666
262,6303.0-1855.0,150.24787128312872,347.40744251903743
262,4467.0-2076.0,154.6114720017965,352.21542668179103
262,1179.0-1429.0,129.52591893753817,322.54947607275085
262,9867.0-2159.0,132.00829059680126,334.15010689537286
262,5742.0-2636.0,134.4948275154053,339.66631947503197
262,1977.0-829.0,134.88027136092393,345.6625532353864
264,1729.0-2833.0,112.49636758811884,160.18473047248744
264,9790.0-4406.0,103.02958050368451,218.5916018733567
264,9837.0-3205.0,105.7500889098774,191.3517293343441
264,3300.0-3033.0,123.23338851810448,290.56972339823767
264,8222.0-3140.0,126.3395500789235,295.9674902872953
264,5093.0-3305.0,152.31177062319486,337.7306040444113
264,6303.0-1855.0,149.42269865530753,344.5883640650494
264,4467.0-2076.0,153.82053681714422,349.38655151149385
264,1179.0-1429.0,128.87625457927194,319.6848557808023
264,9867.0-2159.0,131.34874794185296,331.2877448145472
264,5742.0-2636.0,133.84876565452393,336.8008845573695
264,1977.0-829.0,134.21570326447173,342.8013537595332
266,1729.0-2833.0,112.05300564530967,157.28101847176953
266,9790.0-4406.0,102.1818664914834,215.77921958267098
266,9837.0-3205.0,105.19930394050598,188.46646520207486
266,3300.0-3033.0,122.61074070830746,287.69910971813374
266,8222.0-3140.0,125.73644729061948,293.0927067785446
266,5093.0-3305.0,151.548774317171,334.8940656906359
266,6303.0-1855.0,148.59752602748634,341.7692856110614
266,4467.0-2076.0,153.02960163249193,346.55767634119667
266,1179.0-1429.0,128.22659022100572,316.82023548885377
266,9867.0-2159.0,130.68920528690467,328.4253827337215
266,5742.0-2636.0,133.20270379364257,333.93544963970703
266,1977.0-829.0,133.55113516801953,339.94015428368
268,1729.0-2833.0,111.60964370250049,154.3773064710516
268,9790.0-4406.0,101.3341524792823,212.96683729198526
268,9837.0-3205.0,104.64851897113455,185.58120106980562
268,3300.0-3033.0,121.98809289851044,284.8284960380298
268,8222.0-3140.0,125.13334450231547,290.2179232697939
268,5093.0-3305.0,150.78577801114713,332.0575273368605
268,6303.0-1855.0,147.77235339966515,338.95020715707335
268,4467.0-2076.0,152.23866644783965,343.7288011708995
268,1179.0-1429.0,127.5769258627395,313.9556151969052
268,9867.0-2159.0,130.02966263195637,325.56302065289583
268,5742.0-2636.0,132.5566419327612,331.07001472204456
268,1977.0-829.0,132.88656707156733,337.0789548078268
