fri_sam_time,fri_sam_id,fri_sam_x,fri_sam_y
82,5333.0-217.0,58.53489282501562,131.80850889513138
82,5614.0-1648.0,54.310006887101984,113.91696128557001
82,5030.0-559.0,47.26347933985296,96.69085545112662
82,6072.0-2830.0,45.31599607033953,78.27932367467591
84,1438.0-3521.0,47.99274935561559,327.686472986577
84,7046.0-1094.0,62.85878972067343,308.14591118386284
84,9249.0-2211.0,112.90633489662385,278.30763205071287
84,9093.0-299.0,93.44164386364923,265.12250516285985
84,1843.0-237.0,85.55939900157803,210.01252330680026
84,6749.0-2973.0,58.0172036700173,160.1665121627535
84,5333.0-217.0,60.888915916957444,140.6807968304314
84,5614.0-1648.0,56.700655078982706,122.77945072967788
84,5030.0-559.0,49.021967329277615,105.70010835662967
84,6072.0-2830.0,47.7275255912638,87.13615399336084
84,68.0-3087.0,44.47727704866189,68.86876314160308
86,1438.0-3521.0,48.36944376008115,336.858006078155
86,7046.0-1094.0,63.80422558912611,317.27635854107973
86,9249.0-2211.0,115.9187710557373,286.97851126285343
86,9093.0-299.0,95.85828748532423,273.97794143274984
86,1843.0-237.0,88.31883014848648,218.7672053495553
86,6749.0-2973.0,59.706104145187574,169.18906906804565
86,5333.0-217.0,63.24293900889928,149.55308476573143
86,5614.0-1648.0,59.09130327086343,131.64194017378574
86,5030.0-559.0,50.78045531870227,114.70936126213272
86,6072.0-2830.0,50.13905511218807,95.99298431204576
86,68.0-3087.0,48.19820742249612,77.2600440377085
88,1438.0-3521.0,48.746138164546714,346.02953916973297
88,7046.0-1094.0,64.7496614575788,326.4068058982966
88,9249.0-2211.0,118.93120721485074,295.649390474994
88,9093.0-299.0,98.27493110699922,282.83337770263984
88,1843.0-237.0,91.07826129539494,227.52188739231033
88,6749.0-2973.0,61.395004620357845,178.21162597333782
88,5333.0-217.0,65.59696210084111,158.42537270103145
88,5614.0-1648.0,61.48195146274415,140.5044296178936
88,5030.0-559.0,52.53894330812693,123.71861416763576
88,6072.0-2830.0,52.55058463311234,104.84981463073069
88,68.0-3087.0,51.91913779633035,85.65132493381391
88,9121.0-3953.0,43.34646780898785,69.26879082958787
90,1438.0-3521.0,49.122832569012274,355.20107226131097
90,7046.0-1094.0,65.69509732603147,335.5372532555135
90,9249.0-2211.0,121.94364337396419,304.32026968713456
