foe_sam_time,foe_sam_id,foe_sam_x,foe_sam_y
102,5451.0-2256.0,149.67850123751944,403.05152278086365
102,6862.0-1202.0,113.11419139405712,374.76449900584345
102,8906.0-4866.0,189.41281045391534,411.78010385201037
102,7879.0-4282.0,102.77426215299081,399.86297482364364
102,5934.0-1830.0,182.3135624497012,431.52284959508614
102,7278.0-3462.0,139.32003746211157,404.91441145929707
102,3231.0-4357.0,212.22750961964945,447.0364009787113
102,4724.0-4284.0,161.9775986163838,419.3148888870314
102,2156.0-3675.0,187.56618770966045,467.84132433096306
102,6647.0-1667.0,160.339141268365,438.0534999844945
102,3656.0-4008.0,196.86377242788555,484.56703285794106
102,5181.0-1973.0,139.20121717707667,464.2254745351155
102,7827.0-3507.0,190.22729788074517,505.29596596889695
102,310.0-2884.0,149.63715736612926,479.62606495907494
102,6228.0-2468.0,192.45273933691098,524.4286983594725
102,8405.0-3560.0,203.0529560685113,539.658630140603
104,6213.0-113.0,166.83223063358912,226.02575989190234
104,7762.0-3912.0,60.75673238782644,314.07040686698707
104,7616.0-4572.0,95.50628972496447,316.4585799177578
104,7588.0-2816.0,48.457832087495206,292.74626256203334
104,6586.0-2842.0,50.361372796132656,366.22872755147245
104,382.0-2828.0,174.88267188382343,281.08093778877765
104,2018.0-3491.0,137.9021683867983,339.2463002206234
104,6589.0-916.0,49.826060064670365,334.5484314327028
104,9522.0-4450.0,154.48040558383462,353.4968916201201
104,7974.0-3062.0,113.74156565598346,326.00088233182726
104,9936.0-4094.0,103.00368050130244,396.03672674234906
104,5557.0-3147.0,130.74915517529158,340.6740017645707
104,5451.0-2256.0,146.41993291274127,394.47010970392705
104,6862.0-1202.0,109.8043462976747,366.2027326365585
104,8906.0-4866.0,188.21480544238568,402.67935103058863
104,7879.0-4282.0,98.38708339197585,391.79999891873325
104,5934.0-1830.0,180.4195990394474,422.5411002930356
104,7278.0-3462.0,136.89669431443957,396.0608062098579
104,3231.0-4357.0,212.4900346089437,437.86089017253477
104,4724.0-4284.0,161.01535177359833,410.18619791089384
104,2156.0-3675.0,185.3902695503282,458.92368461587284
104,6647.0-1667.0,158.9928274021916,428.97350235795216
104,3656.0-4008.0,195.27505287414036,475.5262979263211
