fri_ssm_time,fri_ssm_id,fri_ssm_x,fri_ssm_y
228,1472.0-148.0,87.48644830593963,190.4193152255556
228,5939.0-570.0,87.52181548037835,171.73103809430208
228,9508.0-1629.0,72.12034166949648,133.61262949671615
228,1936.0-2289.0,62.613664893026964,93.37651376119074
228,9204.0-4395.0,59.16237609531539,88.389225311666
228,2526.0-1740.0,57.704000382613266,82.68191435030083
228,1826.0-4509.0,57.003204233264356,76.69104888006345
228,7065.0-3633.0,53.203741483197675,65.59070729800372
228,9001.0-3896.0,51.152431818169845,60.09473431772508
230,7081.0-3984.0,132.83489790676808,295.61584900805843
230,5578.0-4829.0,112.62145339758473,296.5544167755949
230,1472.0-148.0,88.40784780016804,193.20842550797192
230,5939.0-570.0,88.55964266243113,174.4789514727835
230,9508.0-1629.0,73.05758511871595,136.3964556249684
230,1936.0-2289.0,63.6871286490346,96.11070262810955
230,9204.0-4395.0,60.093315221138205,91.17516600368674
230,2526.0-1740.0,58.6505053853924,85.46260517726432
230,1826.0-4509.0,58.08239555173959,79.42298213209808
230,7065.0-3633.0,54.27976054539321,68.32389155327022
230,9001.0-3896.0,52.06576969339195,62.8864948950543
232,7081.0-3984.0,133.92395615223273,298.34386391517137
232,5578.0-4829.0,113.49266952799474,299.35960761572653
232,1472.0-148.0,89.32924729439645,195.99753579038824
232,5939.0-570.0,89.59746984448391,177.22686485126493
232,9508.0-1629.0,73.99482856793541,139.18028175322067
232,1936.0-2289.0,64.76059240504223,98.84489149502836
232,9204.0-4395.0,61.02425434696102,93.96110669570749
232,2526.0-1740.0,59.59701038817153,88.24329600422782
232,1826.0-4509.0,59.16158687021482,82.15491538413272
232,7065.0-3633.0,55.355779607588744,71.05707580853671
232,9001.0-3896.0,52.979107568614054,65.67825547238353
232,5992.0-1456.0,51.45316736511685,59.99406472025084
234,7081.0-3984.0,135.0130143976974,301.0718788222843
234,5578.0-4829.0,114.36388565840474,302.16479845585815
234,1472.0-148.0,90.25064678862486,198.78664607280456
234,5939.0-570.0,90.63529702653669,179.97477822974636
234,9508.0-1629.0,74.93207201715488,141.96410788147293
234,1936.0-2289.0,65.83405616104986,101.57908036194718
234,9204.0-4395.0,61.95519347278384,96.74704738772823
234,2526.0-1740.0,60.54351539095067,91.02398683119131
234,1826.0-4509.0,60.24077818869005,84.88684863616736
234,7065.0-3633.0,56.43179866978428,73.7902600638032
234,9001.0-3896.0,53.89244544383616,68.47001604971275
234,5992.0-1456.0,52.403831140949286,62.77333649191421
236,7081.0-3984.0,136.10207264316205,303.79989372939724
236,5578.0-4829.0,115.23510178881475,304.96998929598976
236,1472.0-148.0,91.17204628285327,201.57575635522088
236,5939.0-570.0,91.67312420858947,182.7226916082278
236,9508.0-1629.0,75.86931546637435,144.74793400972518
236,1936.0-2289.0,66.9075199170575,104.31326922886599
236,9204.0-4395.0,62.88613259860666,99.53298807974897
236,2526.0-1740.0,61.4900203937298,93.8046776581548
236,1826.0-4509.0,61.31996950716528,87.618781888202
236,7065.0-3633.0,57.50781773197981,76.5234443190697
236,9001.0-3896.0,54.805783319058264,71.26177662704198
236,5992.0-1456.0,53.354494916781725,65.55260826357757
236,1514.0-1676.0,51.68747450560262,59.91566899039056
238,7081.0-3984.0,137.1911308886267,306.5279086365102
238,5578.0-4829.0,116.10631791922475,307.7751801361214
238,1472.0-148.0,92.09344577708168,204.3648666376372
238,5939.0-570.0,92.71095139064225,185.47060498670922
238,9508.0-1629.0,76.80655891559381,147.53176013797744
238,1936.0-2289.0,67.98098367306514,107.0474580957848
238,9204.0-4395.0,63.817071724429475,102.31892877176972
238,2526.0-1740.0,62.436525396508934,96.5853684851183
238,1826.0-4509.0,62.399160825640514,90.35071514023663
238,7065.0-3633.0,58.58383679417535,79.25662857433619
238,9001.0-3896.0,55.71912119428037,74.05353720437121
238,5992.0-1456.0,54.305158692614164,68.33188003524093
238,1514.0-1676.0,52.60903577558417,62.704725824002026
240,7081.0-3984.0,138.28018913409136,309.2559235436231
240,5578.0-4829.0,116.97753404963476,310.580370976253
240,1472.0-148.0,93.0148452713101,207.1539769200535
240,5939.0-570.0,93.74877857269503,188.21851836519065
240,9508.0-1629.0,77.74380236481328,150.3155862662297
240,1936.0-2289.0,69.05444742907278,109.78164696270362
240,9204.0-4395.0,64.7480108502523,105.10486946379046
240,2526.0-1740.0,63.38303039928807,99.36605931208179
240,1826.0-4509.0,63.478352144115746,93.08264839227127
240,7065.0-3633.0,59.65985585637088,81.98981282960268
240,9001.0-3896.0,56.632459069502474,76.84529778170044
240,5992.0-1456.0,55.2558224684466,71.11115180690429
240,1514.0-1676.0,53.53059704556571,65.4937826576135
